"X","date","swe","snow_depth","precip","airtemp","airtemp_max","airtemp_avg","soilm_p2","soilm_p4","soilm_p8","soilm_p20","soilm_p40","site_code","state","year","doy","month","density_calc","d_soilm_p2","peak_swe","sm_pulse_flag"
1,2015-01-01,25.654,106.68,0.508,-16.6111111111111,-6.61111111111111,-12.2222222222222,8.2,NA,30.1,18.4,NA,485,"CO",2015,1,1,240.47619047619,0,140,0
2,2015-01-02,25.908,106.68,0,-17.2222222222222,-7.61111111111111,-14.1111111111111,8.4,NA,30.2,18.1,NA,485,"CO",2015,2,1,242.857142857143,0.200000000000001,140,0
3,2015-01-03,25.908,106.68,0.508,-14.3888888888889,-8,-12.5,7.4,NA,29.9,18.4,NA,485,"CO",2015,3,1,242.857142857143,-1,140,0
4,2015-01-04,26.416,114.3,0,-19.2777777777778,-8.72222222222222,-11.8888888888889,8.8,NA,29.7,16.9,NA,485,"CO",2015,4,1,231.111111111111,1.4,140,0
5,2015-01-05,26.416,109.22,0.254,-10.7777777777778,-2,-5.38888888888889,7.1,NA,30,18.1,NA,485,"CO",2015,5,1,241.860465116279,-1.7,140,0
6,2015-01-06,26.67,106.68,0,-2.27777777777778,0.111111111111113,-2.5,6.9,NA,29.9,17.7,NA,485,"CO",2015,6,1,250,-0.199999999999999,140,0
7,2015-01-07,26.67,104.14,0,-3.72222222222222,1.27777777777778,-5.22222222222222,7.2,NA,29.9,17,NA,485,"CO",2015,7,1,256.09756097561,0.3,140,0
8,2015-01-08,26.67,101.6,0,-4.77777777777778,0.611111111111112,-5.27777777777778,8.7,NA,29.7,17.2,NA,485,"CO",2015,8,1,262.5,1.5,140,0
9,2015-01-09,26.67,101.6,0,-9.11111111111111,-1,-7.22222222222222,6.9,NA,29.9,16.9,NA,485,"CO",2015,9,1,262.5,-1.8,140,0
10,2015-01-10,26.67,99.06,0,-8.5,-1.38888888888889,-6.72222222222222,7.2,NA,29.8,16.8,NA,485,"CO",2015,10,1,269.230769230769,0.3,140,0
11,2015-01-11,26.67,99.06,0.508,-8.77777777777778,-3.11111111111111,-6.72222222222222,9.3,NA,29.8,17.2,NA,485,"CO",2015,11,1,269.230769230769,2.1,140,0
12,2015-01-12,27.178,101.6,0,-9.72222222222222,-3.88888888888889,-8.38888888888889,7.2,NA,29.8,16.2,NA,485,"CO",2015,12,1,267.5,-2.1,140,0
13,2015-01-13,27.178,101.6,0,-8.38888888888889,-2.77777777777778,-7.22222222222222,8.4,NA,30,17.5,NA,485,"CO",2015,13,1,267.5,1.2,140,0
14,2015-01-14,27.178,101.6,0,-12.7222222222222,-4.11111111111111,-11.2222222222222,6.8,NA,29.9,16.2,NA,485,"CO",2015,14,1,267.5,-1.6,140,0
15,2015-01-15,27.178,101.6,0,-14.3888888888889,0,-9.11111111111111,8.2,NA,29.9,16.9,NA,485,"CO",2015,15,1,267.5,1.4,140,0
16,2015-01-16,27.178,101.6,0.254,-9.22222222222222,0.999999999999998,-4.61111111111111,6.8,NA,29.8,16.1,NA,485,"CO",2015,16,1,267.5,-1.4,140,0
17,2015-01-17,27.178,101.6,0,-7.22222222222222,-4.77777777777778,-9.72222222222222,8.8,NA,29.8,17.3,NA,485,"CO",2015,17,1,267.5,2,140,0
18,2015-01-18,27.432,104.14,0,-7.27777777777778,-0.277777777777778,-5.88888888888889,7.9,NA,29.7,16.9,NA,485,"CO",2015,18,1,263.414634146341,-0.9,140,0
19,2015-01-19,27.432,104.14,0.762,-7.61111111111111,-1.5,-5.38888888888889,7.3,NA,29.5,16,NA,485,"CO",2015,19,1,263.414634146341,-0.600000000000001,140,0
20,2015-01-20,27.94,114.3,0.508,-6.77777777777778,-5.72222222222222,-10.6111111111111,6.9,NA,29.7,16.2,NA,485,"CO",2015,20,1,244.444444444444,-0.399999999999999,140,0
21,2015-01-21,28.702,121.92,0,-13.8888888888889,-9.27777777777778,-14.3888888888889,9,NA,29.7,17.1,NA,485,"CO",2015,21,1,235.416666666667,2.1,140,0
22,2015-01-22,28.702,116.84,0,-22,-10.2222222222222,-17.8888888888889,7.2,NA,29.6,15.7,NA,485,"CO",2015,22,1,245.652173913043,-1.8,140,0
23,2015-01-23,28.702,111.76,0,-16.8888888888889,-4.38888888888889,-11,7.8,NA,29.9,16.4,NA,485,"CO",2015,23,1,256.818181818182,0.6,140,0
24,2015-01-24,28.702,111.76,0.254,-13.7222222222222,-1.77777777777778,-8.22222222222222,6.7,NA,29.7,15.7,NA,485,"CO",2015,24,1,256.818181818182,-1.1,140,0
25,2015-01-25,28.956,111.76,0,-8.38888888888889,-0.777777777777777,-5.5,7.4,NA,29.6,15.9,NA,485,"CO",2015,25,1,259.090909090909,0.7,140,0
26,2015-01-26,28.956,111.76,0.254,-7,6,-1.61111111111111,7.7,NA,29.5,15.9,NA,485,"CO",2015,26,1,259.090909090909,0.3,140,0
27,2015-01-27,28.956,109.22,0,-2.77777777777778,7,-1,7.8,NA,29.6,15.7,NA,485,"CO",2015,27,1,265.116279069767,0.0999999999999996,140,0
28,2015-01-28,28.956,109.22,0,-5.27777777777778,-1.77777777777778,-5.77777777777778,8.3,NA,29.7,16.1,NA,485,"CO",2015,28,1,265.116279069767,0.500000000000001,140,0
29,2015-01-29,28.956,109.22,0,-6.72222222222222,-0.611111111111112,-6,8.6,NA,29.6,16.2,NA,485,"CO",2015,29,1,265.116279069767,0.299999999999999,140,0
30,2015-01-30,29.21,109.22,0,-7.22222222222222,-1,-4.72222222222222,7.7,NA,29.5,15.2,NA,485,"CO",2015,30,1,267.441860465116,-0.899999999999999,140,0
31,2015-01-31,29.21,109.22,0,-5.72222222222222,-2.38888888888889,-6.38888888888889,7.2,NA,29.7,15.8,NA,485,"CO",2015,31,1,267.441860465116,-0.5,140,0
32,2015-02-01,29.21,109.22,0,-11.7222222222222,-8.72222222222222,-12.5,8.9,NA,29.5,16.1,NA,485,"CO",2015,32,2,267.441860465116,1.7,140,0
33,2015-02-02,29.21,111.76,0.508,-12.1111111111111,-3.77777777777778,-8.11111111111111,7.8,NA,29.4,15.9,NA,485,"CO",2015,33,2,261.363636363636,-1.1,140,0
34,2015-02-03,29.718,114.3,0.254,-7.27777777777778,-0.777777777777777,-4.77777777777778,9,NA,29.5,15.7,NA,485,"CO",2015,34,2,260,1.2,140,0
35,2015-02-04,29.972,114.3,1.524,-4,-2,-4.61111111111111,8.6,NA,29.5,15.6,NA,485,"CO",2015,35,2,262.222222222222,-0.4,140,0
36,2015-02-05,31.75,132.08,0.254,-7.77777777777778,2.27777777777778,-4.72222222222222,8.2,NA,29.7,15.8,NA,485,"CO",2015,36,2,240.384615384615,-0.4,140,0
37,2015-02-06,31.75,127,0,-4.5,4.88888888888889,-1,8.8,NA,29.3,16,NA,485,"CO",2015,37,2,250,0.600000000000001,140,0
38,2015-02-07,31.75,124.46,0,0.722222222222221,5.38888888888889,-1.38888888888889,7.3,NA,29.3,15.2,NA,485,"CO",2015,38,2,255.102040816327,-1.5,140,0
39,2015-02-08,31.75,121.92,0,-4.22222222222222,3.22222222222222,-2.72222222222222,8.7,NA,29.6,14.6,NA,485,"CO",2015,39,2,260.416666666667,1.4,140,0
40,2015-02-09,31.75,119.38,0,-5.38888888888889,5.72222222222222,-1.38888888888889,7.1,NA,29.6,15.4,NA,485,"CO",2015,40,2,265.957446808511,-1.6,140,0
41,2015-02-10,32.004,119.38,0,-2.22222222222222,-1.61111111111111,-4.27777777777778,8.1,NA,29.6,14.5,NA,485,"CO",2015,41,2,268.085106382979,1,140,0
42,2015-02-11,32.004,119.38,0,-7.61111111111111,-1.22222222222222,-7.61111111111111,8.2,NA,29.7,16.3,NA,485,"CO",2015,42,2,268.085106382979,0.0999999999999996,140,0
43,2015-02-12,32.004,119.38,0,-10.7777777777778,0.722222222222221,-5.88888888888889,8.8,NA,29.6,14.6,NA,485,"CO",2015,43,2,268.085106382979,0.600000000000001,140,0
44,2015-02-13,32.004,119.38,0,-5.38888888888889,4.5,-3.77777777777778,7.9,NA,29.5,14.3,NA,485,"CO",2015,44,2,268.085106382979,-0.9,140,0
45,2015-02-14,32.004,116.84,0,-6.5,6.61111111111111,-1.22222222222222,9.5,NA,29.5,15.5,NA,485,"CO",2015,45,2,273.913043478261,1.6,140,0
46,2015-02-15,32.004,116.84,0.254,-3.22222222222222,1.5,-5.5,8.8,NA,29.3,14.5,NA,485,"CO",2015,46,2,273.913043478261,-0.699999999999999,140,0
47,2015-02-16,32.258,116.84,0,-11.7777777777778,-8.27777777777778,-13.5,6.6,NA,29.5,15.3,NA,485,"CO",2015,47,2,276.086956521739,-2.2,140,0
48,2015-02-17,32.512,121.92,0,-16.1111111111111,-9.11111111111111,-14.3888888888889,8.9,NA,29.6,14.8,NA,485,"CO",2015,48,2,266.666666666667,2.3,140,0
49,2015-02-18,32.512,121.92,0,-13.8888888888889,-0.88888888888889,-8.5,6.9,NA,29.6,14.8,NA,485,"CO",2015,49,2,266.666666666667,-2,140,0
50,2015-02-19,32.512,121.92,0.254,-10.3888888888889,2,-5,7,NA,29.4,15.1,NA,485,"CO",2015,50,2,266.666666666667,0.0999999999999996,140,0
51,2015-02-20,32.766,119.38,0.508,-7.27777777777778,-1.77777777777778,-7.77777777777778,9.2,NA,29.6,15.4,NA,485,"CO",2015,51,2,274.468085106383,2.2,140,0
52,2015-02-21,33.528,127,0.508,-12.5,-6.22222222222222,-11.1111111111111,7.2,NA,29.2,15.6,NA,485,"CO",2015,52,2,264,-2,140,0
53,2015-02-22,34.036,132.08,0.508,-13.7777777777778,-11.5,-15.5,8.4,NA,29.4,15.7,NA,485,"CO",2015,53,2,257.692307692308,1.2,140,0
54,2015-02-23,34.544,132.08,0.254,-19.3888888888889,-1.5,-9.27777777777778,6.6,NA,29.6,15.4,NA,485,"CO",2015,54,2,261.538461538461,-1.8,140,0
55,2015-02-24,34.798,127,0,-13.6111111111111,-1.61111111111111,-10.3888888888889,6.4,NA,29.2,14.1,NA,485,"CO",2015,55,2,274,-0.199999999999999,140,0
56,2015-02-25,34.798,129.54,0.762,-9.88888888888889,-5.61111111111111,-9.88888888888889,8.7,NA,29.3,14.6,NA,485,"CO",2015,56,2,268.627450980392,2.3,140,0
57,2015-02-26,35.56,139.7,0,-15.2777777777778,-9.27777777777778,-14.2222222222222,8.8,NA,29.3,14.9,NA,485,"CO",2015,57,2,254.545454545455,0.100000000000001,140,0
58,2015-02-27,35.814,142.24,0.254,-15.7222222222222,-8,-13.7777777777778,6.9,NA,29.2,14.4,NA,485,"CO",2015,58,2,251.785714285714,-1.9,140,0
59,2015-02-28,36.068,134.62,0.508,-17.2777777777778,-5.61111111111111,-11.3888888888889,8.5,NA,29.2,15.2,NA,485,"CO",2015,59,2,267.924528301887,1.6,140,0
60,2015-03-01,36.576,142.24,0.508,-9.77777777777778,-4.11111111111111,-7.11111111111111,8.6,NA,28.9,15.3,NA,485,"CO",2015,60,3,257.142857142857,0.0999999999999996,140,0
61,2015-03-02,37.084,144.78,0.762,-5,0.611111111111112,-3.61111111111111,8.2,NA,28.9,13.7,NA,485,"CO",2015,61,3,256.140350877193,-0.4,140,0
62,2015-03-03,37.592,149.86,0.254,-9.88888888888889,-4.77777777777778,-9.72222222222222,8.3,NA,28.9,15.4,NA,485,"CO",2015,62,3,250.847457627119,0.100000000000001,140,0
63,2015-03-04,37.846,144.78,0,-14.3888888888889,-12.7777777777778,-17.3888888888889,8.7,NA,28.7,15.1,NA,485,"CO",2015,63,3,261.40350877193,0.399999999999999,140,0
64,2015-03-05,38.1,149.86,0,-22.3888888888889,-5.22222222222222,-14.1111111111111,8.2,NA,28.7,15.3,NA,485,"CO",2015,64,3,254.237288135593,-0.5,140,0
65,2015-03-06,38.1,147.32,0,-15,-0.111111111111111,-8.88888888888889,8.3,NA,29,13.9,NA,485,"CO",2015,65,3,258.620689655172,0.100000000000001,140,0
66,2015-03-07,38.1,142.24,0,-11.2222222222222,4.38888888888889,-5.27777777777778,7.2,NA,28.7,14.5,NA,485,"CO",2015,66,3,267.857142857143,-1.1,140,0
67,2015-03-08,38.1,142.24,0,-9.61111111111111,2.72222222222222,-4.88888888888889,9,NA,28.7,14.5,NA,485,"CO",2015,67,3,267.857142857143,1.8,140,0
68,2015-03-09,38.1,139.7,0,-9.5,0.499999999999999,-6.72222222222222,7.2,NA,28.5,15,NA,485,"CO",2015,68,3,272.727272727273,-1.8,140,0
69,2015-03-10,38.1,139.7,0,-10.6111111111111,4.5,-5,7.1,NA,28.8,15,NA,485,"CO",2015,69,3,272.727272727273,-0.100000000000001,140,0
70,2015-03-11,38.1,139.7,0.254,-7.88888888888889,5.88888888888889,-2.22222222222222,8.4,NA,28.7,13.6,NA,485,"CO",2015,70,3,272.727272727273,1.3,140,0
71,2015-03-12,38.1,137.16,0,-3.5,3.22222222222222,-2.27777777777778,6.7,NA,28.7,14.8,NA,485,"CO",2015,71,3,277.777777777778,-1.7,140,0
72,2015-03-13,38.354,137.16,0.254,-5.22222222222222,2.38888888888889,-3.11111111111111,6.5,NA,28.4,15.1,NA,485,"CO",2015,72,3,279.62962962963,-0.2,140,0
73,2015-03-14,38.354,134.62,0,-7.61111111111111,6,-2.88888888888889,8,NA,28.3,14.4,NA,485,"CO",2015,73,3,284.905660377358,1.5,140,0
