"X","date","swe","snow_depth","precip","airtemp","airtemp_max","airtemp_avg","soilm_p2","soilm_p4","soilm_p8","soilm_p20","soilm_p40","site_code","state","year","doy","month","density_calc","d_soilm_p2","peak_swe","sm_pulse_flag"
1,2015-01-01,13.716,63.5,0.254,-19,-3.77777777777778,-14,9.2,NA,11.6,20.1,NA,802,"CO",2015,1,1,216,0,67,0
2,2015-01-02,13.716,63.5,0,-18.3888888888889,-5.5,-14.7222222222222,9,NA,11.6,20.1,NA,802,"CO",2015,2,1,216,-0.199999999999999,67,0
3,2015-01-03,13.716,63.5,0.254,-14.2777777777778,-5.88888888888889,-11,8.8,NA,11.6,19.9,NA,802,"CO",2015,3,1,216,-0.199999999999999,67,0
4,2015-01-04,13.97,66.04,0.254,-18.8888888888889,-2.22222222222222,-8.11111111111111,9.1,NA,11.5,19.9,NA,802,"CO",2015,4,1,211.538461538462,0.299999999999999,67,0
5,2015-01-05,14.224,63.5,0,-2.72222222222222,6,0.722222222222221,8.8,NA,11.5,19.9,NA,802,"CO",2015,5,1,224,-0.299999999999999,67,0
6,2015-01-06,14.224,60.96,0,-3.77777777777778,5.61111111111111,-0.88888888888889,8.7,NA,11.3,19.9,NA,802,"CO",2015,6,1,233.333333333333,-0.100000000000001,67,0
7,2015-01-07,14.224,60.96,0,-4.72222222222222,5.77777777777778,-2.88888888888889,8.9,NA,11.4,19.7,NA,802,"CO",2015,7,1,233.333333333333,0.200000000000001,67,0
8,2015-01-08,14.224,60.96,0,-6.77777777777778,6.22222222222222,-2.61111111111111,9.1,NA,11.2,19.7,NA,802,"CO",2015,8,1,233.333333333333,0.199999999999999,67,0
9,2015-01-09,14.224,60.96,0,-8.27777777777778,2.38888888888889,-5.77777777777778,8.9,NA,11.3,19.5,NA,802,"CO",2015,9,1,233.333333333333,-0.199999999999999,67,0
10,2015-01-10,14.224,58.42,0,-9,2.88888888888889,-4.61111111111111,8.8,NA,11.2,19.6,NA,802,"CO",2015,10,1,243.478260869565,-0.0999999999999996,67,0
11,2015-01-11,14.224,58.42,0.254,-6.72222222222222,0.722222222222221,-3.72222222222222,8.7,NA,11.3,19.6,NA,802,"CO",2015,11,1,243.478260869565,-0.100000000000001,67,0
12,2015-01-12,14.478,63.5,0,-5.72222222222222,2,-5.22222222222222,8.8,NA,11.1,19.5,NA,802,"CO",2015,12,1,228,0.100000000000001,67,0
13,2015-01-13,14.478,63.5,0,-6.38888888888889,-0.722222222222223,-5.77777777777778,8.7,NA,11,19.5,NA,802,"CO",2015,13,1,228,-0.100000000000001,67,0
14,2015-01-14,14.478,63.5,0,-12.5,-2.72222222222222,-11,8.7,NA,11.1,19.5,NA,802,"CO",2015,14,1,228,0,67,0
15,2015-01-15,14.478,63.5,0,-16.5,2.27777777777778,-10.2222222222222,8.7,NA,11.1,19.4,NA,802,"CO",2015,15,1,228,0,67,0
16,2015-01-16,14.478,63.5,0.254,-14.7777777777778,5.5,-2.77777777777778,8.8,NA,11.1,19.3,NA,802,"CO",2015,16,1,228,0.100000000000001,67,0
17,2015-01-17,14.732,63.5,0,-2.22222222222222,0.277777777777778,-6,8.5,NA,10.9,19.2,NA,802,"CO",2015,17,1,232,-0.300000000000001,67,0
18,2015-01-18,14.732,63.5,0,-2.5,5.72222222222222,-0.722222222222223,8.5,NA,11,19.1,NA,802,"CO",2015,18,1,232,0,67,0
19,2015-01-19,14.732,60.96,0.762,-3.11111111111111,4.22222222222222,-0.277777777777778,8.4,NA,11,19.1,NA,802,"CO",2015,19,1,241.666666666667,-0.0999999999999996,67,0
20,2015-01-20,15.748,71.12,0,-5.38888888888889,-3.88888888888889,-8.5,8.5,NA,11,19.1,NA,802,"CO",2015,20,1,221.428571428571,0.0999999999999996,67,0
21,2015-01-21,15.748,71.12,0,-11.6111111111111,-7.77777777777778,-12.2777777777778,8.3,NA,10.8,19,NA,802,"CO",2015,21,1,221.428571428571,-0.199999999999999,67,0
22,2015-01-22,15.748,71.12,0,-22.5,-7,-17.3888888888889,8.7,NA,10.8,18.9,NA,802,"CO",2015,22,1,221.428571428571,0.399999999999999,67,0
23,2015-01-23,16.002,76.2,0.254,-19.6111111111111,-0.388888888888889,-11.2777777777778,8.6,NA,10.9,18.9,NA,802,"CO",2015,23,1,210,-0.0999999999999996,67,0
24,2015-01-24,16.002,73.66,0.254,-15.7777777777778,-1.61111111111111,-8.88888888888889,8.7,NA,11.1,18.8,NA,802,"CO",2015,24,1,217.241379310345,0.0999999999999996,67,0
25,2015-01-25,16.002,71.12,0,-6.88888888888889,3.38888888888889,-3.38888888888889,8.5,NA,10.8,18.7,NA,802,"CO",2015,25,1,225,-0.199999999999999,67,0
26,2015-01-26,16.256,71.12,0,-8.11111111111111,8.11111111111111,-2.72222222222222,8.5,NA,10.8,18.7,NA,802,"CO",2015,26,1,228.571428571429,0,67,0
27,2015-01-27,16.256,71.12,0,-6.72222222222222,9.61111111111111,-1.5,8.5,NA,10.6,18.7,NA,802,"CO",2015,27,1,228.571428571429,0,67,0
28,2015-01-28,16.256,68.58,0.254,-3.11111111111111,3.22222222222222,-1,8.4,NA,10.9,18.7,NA,802,"CO",2015,28,1,237.037037037037,-0.0999999999999996,67,0
29,2015-01-29,16.256,68.58,0,-4.11111111111111,6,-1.77777777777778,8.8,NA,10.9,18.4,NA,802,"CO",2015,29,1,237.037037037037,0.4,67,0
30,2015-01-30,16.256,68.58,0,-5.22222222222222,2.61111111111111,-1.77777777777778,8.5,NA,10.9,18.6,NA,802,"CO",2015,30,1,237.037037037037,-0.300000000000001,67,0
31,2015-01-31,16.256,66.04,0.254,-1.77777777777778,-0.88888888888889,-3.38888888888889,8.5,NA,10.7,18.5,NA,802,"CO",2015,31,1,246.153846153846,0,67,0
32,2015-02-01,16.51,71.12,0,-6.72222222222222,-3.11111111111111,-7.38888888888889,8.8,NA,10.8,18.4,NA,802,"CO",2015,32,2,232.142857142857,0.300000000000001,67,0
