,id,site_name,site,state,lon_exact,lat_exact,lon,lat,easting_exact,northing_exact,easting,northing,epsg
0,1,Bateman,316,NM,-106.31543,36.5117416,-106.316667,36.516667,382211.0579101949,4041515.0923809293,382107.75864936033,4042062.9949365146,32613
1,2,Hoosier Pass,531,CO,-106.05999,39.36092,-106.066667,39.366667,408680.70814489137,4357365.2636951525,408112.9961256117,4358009.847614531,32613
2,3,White Horse Lake,861,AZ,-112.14966,35.1418915,-112.15,35.15,395270.6504152269,3889383.320060237,395250.06836509926,3890282.963024036,32612
3,4,Willow Park,870,CO,-105.7359,40.4339,-105.733333,40.433333,437582.91872632084,4476177.664445841,437800.1242852644,4476112.916787236,32613
4,5,Webber Springs,852,WY,-106.92809,41.1590996,-106.933333,41.166667,338231.085189393,4558210.649188413,337809.83545738005,4559060.5511319535,32613
5,6,Carson Pass,1067,CA,-120.002128,38.692667,-120.0,38.7,760736.4814836388,4286938.824687036,239105.07027754534,4287758.841587021,32610
