station_name,year,band,orbit,orbit_direction,backscatter_DOY,backscatter_value
CO_335,2020,vh,56,descending,59,-19.082867
CO_335,2020,vv,56,descending,71,-10.585493
CO_335,2020,vh,56,descending,71,-19.246782
CO_335,2020,vv,56,descending,83,-9.545826
CO_335,2020,vh,56,descending,83,-18.367283
CO_335,2020,vv,56,descending,95,-9.202842
CO_335,2020,vh,56,descending,95,-17.968843
CO_335,2020,vv,56,descending,107,-8.676914
CO_335,2020,vh,56,descending,107,-16.94663
CO_335,2020,vv,56,descending,119,-11.46174
CO_335,2020,vh,56,descending,119,-20.371796
CO_335,2020,vv,56,descending,131,-10.545532
CO_335,2020,vh,56,descending,131,-19.874285
CO_335,2020,vv,56,descending,143,-11.995302
CO_335,2020,vh,56,descending,143,-21.3459
CO_335,2020,vv,78,ascending,31,-13.994775
CO_335,2020,vh,78,ascending,31,-16.35782
CO_335,2020,vv,78,ascending,43,-10.92466
CO_335,2020,vh,78,ascending,43,-16.864834
CO_335,2020,vv,78,ascending,79,-12.328575
CO_335,2020,vh,78,ascending,79,-18.09708
CO_335,2020,vv,151,ascending,60,-11.147519
CO_335,2020,vh,151,ascending,60,-17.117134
CO_335,2020,vv,151,ascending,72,-10.629967
CO_335,2020,vh,151,ascending,72,-16.401638
CO_335,2020,vv,151,ascending,96,-10.240194
CO_335,2020,vh,151,ascending,96,-15.750108
CO_335,2020,vv,151,ascending,108,-9.325232
CO_335,2020,vh,151,ascending,108,-15.347576
CO_335,2020,vv,151,ascending,120,-12.73713
CO_335,2020,vh,151,ascending,120,-17.969635
CO_335,2020,vv,151,ascending,132,-12.934969
CO_335,2020,vh,151,ascending,132,-18.084337
CO_335,2020,vv,151,ascending,144,-12.436588
CO_335,2020,vh,151,ascending,144,-17.223705
CO_335,2021,vv,56,descending,41,-11.19619
CO_335,2021,vh,56,descending,41,-19.522564
CO_335,2021,vv,56,descending,53,-10.720235
CO_335,2021,vh,56,descending,53,-19.417887
